127.0.0.1 - - [27/Feb/2017:15:34:04 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Feb/2017:15:34:05 -0500] "GET /05ListandTable/faces/table_demo.xhtml HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [27/Feb/2017:15:34:48 -0500] "GET /05ListandTable/faces/table_demo.xhtml HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [27/Feb/2017:15:56:42 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [27/Feb/2017:15:56:42 -0500] "GET /05ListandTable/faces/javax.faces.resource/table_demo_style.css?ln=css HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:01:32 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:02:06 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:03:15 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:05:03 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:05:17 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:06:02 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3021
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:11:42 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:14:53 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:14:53 -0500] "GET /05ListandTable/faces/javax.faces.resource/table_demo_style.css?ln=css HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:14:53 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:15:26 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:15:35 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:19:03 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:19:13 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:20:53 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:21:03 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:21:50 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:21:59 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:22:01 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:22:38 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:22:44 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:22:50 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:23:16 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [27/Feb/2017:16:23:25 -0500] "GET /05ListandTable/faces/table_demo_css.xhtml HTTP/1.1" 200 3410
