127.0.0.1 - - [21/Mar/2017:13:06:04 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:06:05 -0400] "GET /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 15474
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:06:14 -0400] "GET /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 15474
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:06:14 -0400] "GET /09BookingApplication/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:06:14 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:06:43 -0400] "GET /09BookingApplication/faces/javax.faces.resource/images/ui-icons_898989_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:07:13 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:07:24 -0400] "GET /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 15474
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:08:45 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16472
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:08:58 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16412
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:09:39 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16291
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:09:48 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16331
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:10:24 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16343
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:10:34 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16250
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:10:52 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16169
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:11:10 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16250
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:11:26 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 16150
0:0:0:0:0:0:0:1 - - [21/Mar/2017:13:11:59 -0400] "POST /09BookingApplication/faces/information_page.xhtml HTTP/1.1" 200 2619
