127.0.0.1 - - [12/Apr/2017:15:56:01 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:56:03 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11437
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:56:03 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css;jsessionid=8F7145B6051E78F5F0C568FF7A4C1F5A?ln=css HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:56:08 -0400] "POST /08JDBC6/faces/list-students.xhtml;jsessionid=8F7145B6051E78F5F0C568FF7A4C1F5A HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:56:08 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:56:15 -0400] "POST /08JDBC6/faces/list-students.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:56:15 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11261
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:10:41 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11261
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:10:42 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:10:42 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:11:22 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11261
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:11:22 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:11:22 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:12:37 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11339
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:12:37 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:12:37 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:13:46 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11339
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:13:46 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:13:46 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:13:52 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:13:52 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:13:52 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:13:59 -0400] "POST /08JDBC6/faces/list-students.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:13:59 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:14:02 -0400] "POST /08JDBC6/faces/list-students.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:14:02 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:14:26 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:14:26 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:14:26 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:15:24 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:15:24 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:15:24 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:15:45 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:15:45 -0400] "GET /08JDBC6/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:15:45 -0400] "GET /08JDBC6/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 1683
189.62.61.90 - - [12/Apr/2017:16:18:28 -0400] "GET /hndUnblock.cgi HTTP/1.0" 404 1022
189.62.61.90 - - [12/Apr/2017:16:18:29 -0400] "GET /tmUnblock.cgi HTTP/1.0" 404 1020
189.62.61.90 - - [12/Apr/2017:16:18:29 -0400] "POST /cgi?2 HTTP/1.0" 404 1000
189.62.61.90 - - [12/Apr/2017:16:18:30 -0400] "GET / HTTP/1.0" 404 994
0:0:0:0:0:0:0:1 - - [12/Apr/2017:16:19:08 -0400] "GET /08JDBC6/faces/list-students.xhtml HTTP/1.1" 200 11417
